content,score
"Aplikasinya menarik, ada sesi meditasi dan instrument yg cukup membantu merilekskan pikiran. Ada sesi konseling juga bagi kalian yg memiliki beberapa hal/masalah yg barangkali perlu bantuan medis, dan ini cukup rekomend untuk kalian.",3
"Padahal apps bagus. Tp akhir"" ini bukannya jadi rileks, tp makin kesel gara"" appsnya lambat bgt loadingnya. Sering terputus"" ga jelas juga. Pdhl koneksi internet bagus. Buat youtube dan apps lain lancar.",3
"Masih sering ditemukan error pada saat mengisi jurnal. Mulai dari tombol ""next"" ngga bisa di klik, kursor tulisan lari-larian, sampai apa yg udh ditulis dalam satu halaman, hilang semua. Mungkin ada cara biar ngisi jurnalnya ngga harus selalu saat koneksi super kenceng?",3
"Sebelum memilih untuk konseling buka aplikasi lancar terus, pas udah bayar dan jadwal konseling buka aplikasi sudah banget. Muter² doang, udah pake wifi, pake paket data, tetep gagal. Padahal buka sosmed dan aplikasi lain lancar, koneksi juga bagus. Tolong diperbaiki, soalnya ini merugikan juga mau rescedule jadi gagal.",3
"Maaf kenapa ya aplikasinya, kok setiap aku masuk selalu balik lagi kemenu utama dan setelah itu ada bacaan 'Riliv terhenti.' Padah aku liat menarit, tapi sayang gak bisa buka aplikasinya :(",3
"Saat meditasi di menit 6 sering tiba2 close sendiri aplikasinya, jadi pas sudah fokus dengerin nunggu lama eh ternyata mesti buka dari awal. Meditasinya diulang dari nol lagi, gak bisa dicepatin menitnya. Jadinya meditasinya nanggung, masa harus mulai dari nol menit lagi?",3
"Hallo riliv, saya sudah menuntaskan proses pembayaran untuk semua konten meditasi selama 2 bulan, tapi knpa saya masih tidak bisa mengakses semua konten meditasi tersebut. Mohin bantuan nya",3
"Setelah melihat acara Mata Najwa aku jadi tertarik mencoba Aplikasi ini, Namun karena Gak nonton sampai akhir aku kecelik dengan Harga yang fantastis ternyata untuk konselingnya berbayar.. yaudah deh masih banyak kebutuhan hidup pokok aku uninstall lagi yah ba Bye",3
"Mau tanya aja, waktu awal2 sy download apk ini lancar tapi kenapa waktu dicoba lagi harus memuat data. Awalny sy tunggu apk nya memuat data tapi sudah ditunggu lama2 tetep aja 0% ga naik2.",3
sesi meditasi secara konten bagus. tetapi saya ingin menyarankan untuk pengisian suara sebaiknya diperlambat karena saya rasa yg pengisi suara bicara cukup cepat sehingga saya agak kesulitan rileks.,3
seandainya berkonsultasi dengan para ahli bisa gratis . Ini mungkin jadi aplikasi terbaik sepanjang masa yg pernah saya temukan . Karna banyak orang yang memiliki problem mengenai kesehatan mental tapi mereka tidak punya biaya termasuk saya . seandainya saja bisa free aplikasi ini sangat menolong orang orang yang mungkin saja sudah menyerah buat menjalani kehidupan,3
"Saran kak, mungkin untuk beberapa orang lebih prefer bahasa Indonesia. Tapi aku pribadi agak kurang nyaman kalau bahasa Indonesia. Coba pakai dua bahasa kak, bahasa inggris biar lebih enak juga. Terimakasih",3
"Assalamu'alaikum,Yah Lumayan Bagus,Dan Makasih Udah buat apk ini Semoga apk ini bermanfaat buat semua orang dan kalo boleh kasih saran,hrs ada kyk tempat kayak motivasi gitu buat dibaca supaya org yg membacanya termotivasi dan bisa semangat menjalani kehidupan:)",3
"Masih blm bisa sampai skrg digunakan konselingnya udah dri siang pembayaran juga udah lunas, ini gmana?? Bisa pengembalian pembayaran ngak??",3
😐 konsultasinya berbayar semua ya? Enggak jadi pakai deh. Selain itu juga ponsel saya tidak kuat menjalankan aplikasi ini karena memori internalnya sedikit.,3
Kenapa lama sekali memutar meditasi nya. Memuat data seperti itu terus... pdhl udah byr lho... krna seserius ini aku pengen pakai app ini .,3
"Sy beri 3 dulu, krn br saja download. Utk biaya berlangganan dengan diskon 50% itu apa saja yg bisa di akses? Beda nya dengan biaya meditasi 1 th + uang kembali itu apa?",3
"kemahalaaan. coba kalau 100rb untuk 2 atau 3 sesi, bukan hanya 1 sesi. soalnya ini online kan tidak bertatap mata langsung, jelas beda.",3
Terkadang saat meditasi aplikasi keluar sendiri. Dan saya mau nanya bolehkah meditasi pagi nya meditasi A msalnya sorenya meditasi B....?,3
"Sebenernya aplikasi ini bagus, namun gak tau knp saya gk bisa akses fitur konseling saya, padahal sudah bayar.",3
"Maaf aplikasi nya bagus, tapi kenapa ya harus bayar dlu? Tolong ya, apalagi kalau mau konseling ke psikolog, usia harus diatas 17 tahun, memang nya cuma yg usia diatas 17 tahun yg punya gangguan mental? Saya masih SMP tapi saya juga punya gangguan mental, terpaksa saya harus delete dulu aplikasi nya, mohon di perbaiki ya",3
